# Team 0: Quantum Bluff, Team 1: LeTeam
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
31,Pre-Flop,1,25,-25,FOLD,0,"['9s', '2s']","['6s', '8s']","['9d', '2d']",,,1,1
32,Pre-Flop,0,26,-26,RAISE,2,"['3h', '7d']","['2d', '6s']","['6d', '9h']",,,1,1
32,Pre-Flop,1,26,-26,FOLD,0,"['3h', '7d']","['2d', '6s']","['6d', '9h']",,,2,2
33,Pre-Flop,1,28,-28,FOLD,0,"['9d', 'Ad']","['4d', '5s']","['4h', '7s']",,,1,1
34,Pre-Flop,0,29,-29,CALL,0,"['9h', '9d']","['4d', '7h']","['Ah', '4h']",,,1,1
34,Pre-Flop,1,29,-29,CHECK,0,"['9h', '9d']","['4d', '7h']","['Ah', '4h']",,,2,2
34,Flop,0,29,-29,RAISE,2,"['9h', '9d']","['4d', '7h']","['Ah', '4h', '6d']",,,2,2
34,Flop,1,29,-29,FOLD,0,"['9h', '9d']","['4d', '7h']","['Ah', '4h', '6d']",,,2,2
35,Pre-Flop,1,31,-31,FOLD,0,"['3s', '9d']","['5d', '9s']","['Ad', '5h']",,,1,1
36,Pre-Flop,0,32,-32,RAISE,2,"['As', '3h']","['4s', '7s']","['4d', '5h']",,,1,1
36,Pre-Flop,1,32,-32,FOLD,0,"['As', '3h']","['4s', '7s']","['4d', '5h']",,,2,2
37,Pre-Flop,1,34,-34,FOLD,0,"['3d', '8s']","['2h', '9h']","['9s', 'Ad']",,,1,1
38,Pre-Flop,0,35,-35,RAISE,2,"['3s', '9d']","['Ad', 'Ah']","['6d', '5h']",,,1,1
38,Pre-Flop,1,35,-35,CALL,0,"['3s', '9d']","['Ad', 'Ah']","['6d', '5h']",,,2,2
38,Flop,0,35,-35,DISCARD,0,"['3s', '9d']","['Ad', 'Ah']","['6d', '5h', '8s']",,,4,4
38,Flop,0,35,-35,CHECK,0,"['3s', '7s']","['Ad', 'Ah']","['6d', '5h', '8s']",9d,,4,4
38,Flop,1,35,-35,CHECK,0,"['3s', '7s']","['Ad', 'Ah']","['6d', '5h', '8s']",9d,,4,4
38,Turn,0,35,-35,CHECK,0,"['3s', '7s']","['Ad', 'Ah']","['6d', '5h', '8s', '6s']",9d,,4,4
38,Turn,1,35,-35,CHECK,0,"['3s', '7s']","['Ad', 'Ah']","['6d', '5h', '8s', '6s']",9d,,4,4
38,River,0,35,-35,RAISE,4,"['3s', '7s']","['Ad', 'Ah']","['6d', '5h', '8s', '6s', '9h']",9d,,4,4
38,River,1,35,-35,CALL,0,"['3s', '7s']","['Ad', 'Ah']","['6d', '5h', '8s', '6s', '9h']",9d,,4,4
39,Pre-Flop,1,43,-43,FOLD,0,"['6d', '6s']","['4d', '7s']","['Ah', '9s']",,,1,1
40,Pre-Flop,0,44,-44,RAISE,2,"['9h', '4h']","['3s', '7d']","['As', '8s']",,,1,1
40,Pre-Flop,1,44,-44,FOLD,0,"['9h', '4h']","['3s', '7d']","['As', '8s']",,,2,2
41,Pre-Flop,1,46,-46,FOLD,0,"['7h', '3d']","['9s', '2d']","['4d', '8s']",,,1,1
42,Pre-Flop,0,47,-47,RAISE,2,"['4d', '6d']","['7s', '3d']","['8h', '4s']",,,1,1
42,Pre-Flop,1,47,-47,FOLD,0,"['4d', '6d']","['7s', '3d']","['8h', '4s']",,,2,2
43,Pre-Flop,1,49,-49,FOLD,0,"['3h', '9d']","['Ad', '7s']","['6h', '5d']",,,1,1
44,Pre-Flop,0,50,-50,RAISE,2,"['9s', '4h']","['5d', '9h']","['5s', '7d']",,,1,1
44,Pre-Flop,1,50,-50,FOLD,0,"['9s', '4h']","['5d', '9h']","['5s', '7d']",,,2,2
45,Pre-Flop,1,52,-52,FOLD,0,"['8h', '5s']","['3h', '5h']","['8d', '9d']",,,1,1
46,Pre-Flop,0,53,-53,RAISE,2,"['2s', '9h']","['2d', '5d']","['3h', 'As']",,,1,1
46,Pre-Flop,1,53,-53,FOLD,0,"['2s', '9h']","['2d', '5d']","['3h', 'As']",,,2,2
47,Pre-Flop,1,55,-55,FOLD,0,"['5h', '7d']","['9s', '6s']","['3h', '5d']",,,1,1
48,Pre-Flop,0,56,-56,RAISE,2,"['5h', 'Ah']","['9s', '2h']","['3s', '6s']",,,1,1
48,Pre-Flop,1,56,-56,FOLD,0,"['5h', 'Ah']","['9s', '2h']","['3s', '6s']",,,2,2
49,Pre-Flop,1,58,-58,FOLD,0,"['4s', '8h']","['3s', '3d']","['6s', '5h']",,,1,1
50,Pre-Flop,0,59,-59,RAISE,2,"['3h', '6d']","['6h', '3d']","['8h', '6s']",,,1,1
50,Pre-Flop,1,59,-59,FOLD,0,"['3h', '6d']","['6h', '3d']","['8h', '6s']",,,2,2
51,Pre-Flop,1,61,-61,FOLD,0,"['4h', '3s']","['2h', '8d']","['5h', 'As']",,,1,1
52,Pre-Flop,0,62,-62,RAISE,2,"['3h', 'Ah']","['3s', '6s']","['5s', '6d']",,,1,1
52,Pre-Flop,1,62,-62,FOLD,0,"['3h', 'Ah']","['3s', '6s']","['5s', '6d']",,,2,2
53,Pre-Flop,1,64,-64,FOLD,0,"['3h', '8h']","['8s', '6d']","['4s', '2s']",,,1,1
54,Pre-Flop,0,65,-65,RAISE,2,"['3s', 'As']","['8d', '4d']","['7s', '6s']",,,1,1
54,Pre-Flop,1,65,-65,FOLD,0,"['3s', 'As']","['8d', '4d']","['7s', '6s']",,,2,2
55,Pre-Flop,1,67,-67,FOLD,0,"['5h', '9d']","['4d', '3s']","['3h', '2h']",,,1,1
56,Pre-Flop,0,68,-68,RAISE,2,"['8s', '5s']","['7s', '8h']","['9h', '4d']",,,1,1
56,Pre-Flop,1,68,-68,FOLD,0,"['8s', '5s']","['7s', '8h']","['9h', '4d']",,,2,2
57,Pre-Flop,1,70,-70,FOLD,0,"['9d', '9h']","['3d', '3s']","['8h', '2s']",,,1,1
58,Pre-Flop,0,71,-71,RAISE,2,"['2d', '8s']","['2s', 'Ah']","['Ad', '4s']",,,1,1
